unitid,cipcode,awlevel,crace15,crace16
100654,10102,5,11,0
100654,10102,7,14,0
100654,10103,5,1,1
100654,20201,5,3,0
100654,20301,5,3,0
100654,20399,7,11,3
100654,20501,5,2,0
100654,29999,5,1,0
100654,29999,7,10,0
100654,30499,5,2,0
100654,40301,5,7,2
100654,40301,7,10,0
100654,60101,5,8,12
100654,60201,5,17,14
100654,60301,5,5,2
100654,60401,5,17,22
100654,60401,7,91,16
100654,60501,5,14,3
100654,60501,7,11,1
100654,61401,5,22,12
100654,70601,5,1,11
100654,100104,5,8,25
100654,110101,5,19,27
100654,110101,7,19,6
100654,130101,7,1,2
100654,130499,5,0,24
100654,130499,7,0,2
100654,131004,7,0,3
100654,131005,5,1,2
100654,131005,7,2,3
100654,131006,5,0,3
100654,131006,7,1,4
100654,131012,5,0,4
100654,131012,7,0,5
100654,131099,7,0,6
100654,131101,7,2,0
100654,131201,5,0,1
100654,131201,7,2,12
100654,131301,5,4,0
100654,131301,7,1,0
100654,131302,5,4,1
100654,131303,5,0,1
100654,131303,7,0,1
100654,131305,5,0,1
100654,131305,7,0,1
100654,131309,5,1,0
100654,131311,7,0,1
100654,131312,5,1,2
100654,131314,5,1,0
100654,139999,7,3,5
100654,140801,5,10,0
100654,150299,5,2,0
100654,150399,3,1,0
100654,150399,5,21,1
100654,150603,7,3,0
100654,150899,5,9,0
100654,190101,5,0,3
100654,190501,5,0,6
100654,199999,5,0,1
100654,230101,5,0,1
100654,250101,7,6,4
100654,250401,7,0,4
100654,260101,5,1,1
100654,260301,5,1,0
100654,260701,5,7,7
100654,400501,5,2,0
100654,400801,5,1,0
100654,400899,5,2,0
100654,420101,5,2,8
100654,420201,7,4,8
100654,420601,7,1,1
100654,429999,7,1,8
100654,440701,5,1,9
100654,451001,5,7,3
100654,451101,5,1,6
100654,479999,5,1,0
100654,990000,3,1,0
100654,990000,5,221,216
100654,990000,7,193,96
101189,60101,3,31,21
101189,60101,5,11,5
101189,60201,5,2,0
101189,70401,2,0,1
101189,70606,2,0,7
101189,70606,3,0,3
101189,70705,2,0,1
101189,110101,3,5,5
101189,131202,5,0,6
101189,131205,5,2,0
101189,131314,5,3,3
101189,170506,2,0,2
101189,170819,2,1,2
101189,179999,2,0,1
101189,230101,5,0,1
101189,240101,3,9,10
101189,240101,5,3,1
101189,260101,5,0,1
101189,390101,3,1,0
101189,390101,5,8,0
101189,420101,5,1,2
101189,480101,3,0,1
101189,990000,2,1,14
101189,990000,3,46,40
101189,990000,5,30,19
101709,40501,5,0,1
101709,60101,5,7,8
101709,60201,5,4,8
101709,60301,5,8,4
101709,60402,5,10,11
101709,61401,5,7,4
101709,70601,5,0,1
101709,80102,5,1,13
101709,100104,5,17,16
101709,100104,7,0,1
101709,130401,7,5,0
101709,131101,5,4,11
101709,131101,7,2,6
101709,131202,5,0,16
101709,131202,7,1,10
101709,131204,5,0,18
101709,131204,7,0,6
101709,131205,7,5,3
101709,131304,7,2,0
101709,131308,5,0,5
101709,131308,7,0,5
101709,131311,7,1,0
101709,131312,5,8,4
101709,131312,7,1,2
101709,131314,5,3,3
101709,131314,7,3,2
101709,180103,5,1,26
101709,180103,7,3,14
101709,180901,5,0,2
101709,190101,5,0,5
101709,190503,5,0,1
101709,230101,5,1,11
101709,230101,7,0,1
101709,260101,5,0,3
101709,269999,5,4,0
101709,270101,5,4,3
101709,400501,5,5,1
101709,420101,5,3,10
101709,440701,5,0,7
101709,450101,5,3,2
101709,450801,5,3,3
101709,451001,5,3,0
101709,451101,5,2,1
101709,500501,5,8,5
101709,500501,7,0,1
101709,500701,5,11,14
101709,500903,5,1,5
101709,990000,5,118,222
101709,990000,7,23,51
100724,60201,5,7,14
100724,60301,5,4,2
100724,60401,3,0,1
100724,60401,5,11,10
100724,61401,5,5,7
100724,70401,3,0,3
100724,70401,5,2,42
100724,90401,5,3,8
100724,110101,5,19,23
100724,130401,7,6,8
100724,130501,7,1,2
100724,131001,5,0,2
100724,131001,7,2,13
100724,131101,7,2,1
100724,131202,5,1,2
100724,131202,7,2,8
100724,131204,5,0,9
100724,131204,7,0,3
100724,131302,5,0,1
100724,131303,5,0,6
100724,131304,5,0,1
100724,131305,5,1,1
100724,131305,7,0,2
100724,131311,5,1,0
100724,131311,7,1,4
100724,131312,5,2,1
100724,131312,7,1,1
100724,131314,5,4,6
100724,131314,7,3,4
100724,131315,7,2,6
100724,131317,7,1,1
100724,230101,5,0,3
100724,260101,5,7,8
100724,260101,7,3,3
100724,270101,5,3,4
100724,310301,5,4,5
100724,400501,5,4,0
100724,400801,5,1,0
100724,420101,5,6,5
100724,430104,5,33,27
100724,440201,5,6,9
100724,440701,5,2,15
100724,449999,7,7,9
100724,451001,5,8,3
100724,451101,5,5,3
100724,500701,5,5,2
100724,500903,5,6,0
100724,990000,3,0,4
100724,990000,5,150,219
100724,990000,7,31,65
100760,60101,3,9,9
100760,60201,3,0,1
100760,70603,3,0,6
100760,70606,2,0,4
100760,90501,3,1,0
100760,170206,3,1,0
100760,170209,3,0,2
100760,170399,3,0,4
100760,170499,3,0,1
100760,170813,3,1,1
100760,181101,3,0,3
100760,190101,3,0,1
100760,240101,3,14,42
100760,420101,3,2,0
100760,430107,2,9,1
100760,430107,3,7,1
100760,450801,3,1,0
100760,470105,3,2,0
100760,480101,3,1,0
100760,990000,2,9,5
100760,990000,3,39,71
100812,60101,5,76,59
100812,60201,5,9,15
100812,69999,5,6,5
100812,131202,5,1,28
100812,131204,5,0,4
100812,131314,5,2,3
100812,131320,5,16,2
100812,150404,5,9,0
100812,230101,5,0,1
100812,239999,5,0,1
100812,240101,5,8,8
100812,260101,5,1,2
100812,270101,5,4,1
100812,279999,5,1,2
100812,380201,5,3,2
100812,389999,5,1,0
100812,419999,5,5,0
100812,420101,5,7,7
100812,429999,5,2,7
100812,430104,5,2,3
100812,450101,5,1,1
100812,450801,5,2,3
100812,451001,5,2,2
100812,451101,5,0,2
100812,500703,5,1,0
