unitid,cipcode,awlevel,crace01,crace02,crace03,crace04,crace05,crace06,crace07,crace08,crace09,crace10,crace11,crace12,crace15,crace16,bal_m,bal_w
1595,60000,5,0,0,0,0,0,0,0,0,0,0,10,17,10,17,0,0
1595,90000,5,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0
1595,110000,5,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0
1595,130000,5,0,0,0,3,0,0,0,0,0,0,5,65,5,68,0,0
1595,230000,5,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0
1595,260000,5,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
1595,270000,5,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
1595,380000,5,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
1595,400000,5,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0
1595,420000,5,0,0,1,3,0,0,0,0,0,0,1,8,2,11,0,0
1595,430000,5,0,0,0,0,0,0,0,0,0,0,8,1,8,1,0,0
1595,440000,5,0,0,0,1,0,0,0,0,0,0,0,6,0,7,0,0
1595,450000,5,0,0,0,0,0,0,0,0,0,0,1,5,1,5,0,0
1595,500000,5,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
1595,990000,5,0,0,1,7,0,0,0,0,0,0,25,119,26,126,0,0
1742,70000,2,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0
1742,70000,3,0,0,0,0,0,0,0,0,0,0,1,18,1,18,0,0
1742,120000,2,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0
1742,150000,3,0,0,0,0,0,0,0,0,0,0,10,0,10,0,0,0
1742,170000,2,0,0,0,0,0,0,0,0,0,0,0,16,0,16,0,0
1742,180000,3,0,0,0,1,0,0,0,0,0,0,3,93,3,94,0,0
1742,240000,3,0,0,0,0,0,0,0,0,0,0,6,8,6,8,0,0
1742,300000,3,2,0,2,0,0,0,0,0,0,0,33,42,37,42,0,0
1742,460000,3,0,0,0,0,1,0,0,0,0,0,1,0,2,0,0,0
1742,470000,3,0,0,0,0,0,0,0,0,0,0,10,1,10,1,0,0
1742,480000,3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
1742,990000,2,0,0,0,0,0,0,0,0,0,0,0,22,0,22,0,0
1742,990000,3,2,0,2,1,1,0,0,0,0,0,65,162,70,163,0,0
1755,500000,5,0,1,0,0,0,0,1,0,0,0,2,3,3,4,0,0
1755,500000,7,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
1755,990000,5,0,1,0,0,0,0,1,0,0,0,2,3,3,4,0,0
