unitid,"cipcode",awlevel,crace01,crace02,crace03,crace04,crace05,crace06,crace07,crace08,crace09,crace10,crace11,crace12,bal_m,bal_w,crace15,crace16
100636,"06.0000",3,0,0,140,30,0,0,0,0,0,0,739,117,0,0,879,147
100636,"07.0000",3,0,0,115,40,0,0,0,0,0,0,315,107,0,0,430,147
100636,"08.0000",3,0,0,111,27,0,0,0,0,0,0,484,81,0,0,595,108
100636,"09.0000",3,0,0,42,12,0,0,0,0,0,0,263,44,-9,-3,296,53
100636,"10.0000",3,0,0,15,3,0,0,0,0,0,0,111,15,0,0,126,18
100636,"11.0000",3,0,0,13,0,0,0,0,0,0,0,148,21,0,0,161,21
100636,"13.0000",3,0,0,13,6,0,0,0,0,0,0,86,23,0,0,99,29
100636,"14.0000",3,0,0,54,12,0,0,0,0,0,0,762,51,0,0,816,63
100636,"15.0000",3,0,0,28,5,0,0,0,0,0,0,279,19,-10,0,297,24
100636,"16.0000",3,0,0,6,0,0,0,0,0,0,0,152,38,0,0,158,38
100636,"17.0000",3,0,0,28,10,0,0,0,0,0,0,163,45,0,0,191,55
100636,"18.0000",3,0,0,20,12,0,0,0,0,0,0,127,32,0,0,147,44
100636,"19.0000",3,0,0,4,2,0,0,0,0,0,0,36,13,0,0,40,15
100636,"22.0000",3,0,0,4,5,0,0,0,0,0,0,17,17,0,0,21,22
100636,"30.0000",3,0,0,5,3,0,0,0,0,0,0,94,20,0,0,99,23
100636,"40.0000",3,0,0,10,2,0,0,0,0,0,0,105,9,0,0,115,11
100636,"43.0000",3,0,0,94,4,0,0,0,0,0,0,625,20,0,0,719,24
100636,"44.0000",3,0,0,17,7,0,0,0,0,0,0,38,17,0,0,55,24
100636,"46.0000",3,0,0,6,0,0,0,0,0,0,0,40,3,0,0,46,3
100636,"47.0000",3,0,0,262,20,0,0,0,0,0,0,2207,134,0,0,2469,154
100636,"48.0000",3,0,0,18,0,0,0,0,0,0,0,113,4,0,0,131,4
100636,"49.0000",3,0,0,32,4,0,0,0,0,0,0,196,29,0,0,228,33
100636,"50.0000",3,0,0,0,0,0,0,0,0,0,0,5,1,0,0,5,1
100636,"99.0000",3,0,0,1037,204,0,0,0,0,0,0,7105,860,-19,-3,8123,1061
100654,"01.0000",5,0,0,9,,0,0,0,0,0,0,0,0,0,,9,
100654,"01.0000",7,0,0,8,,0,0,0,0,0,0,0,0,0,,8,
100654,"02.0000",5,0,0,6,1,0,0,,,0,0,,2,0,0,6,3
100654,"02.0000",7,0,0,5,3,0,0,5,,0,0,,2,0,0,10,5
100654,"04.0000",5,0,0,5,,0,0,0,0,0,0,0,0,0,,5,
100654,"04.0000",7,0,0,3,,0,0,0,0,0,0,0,0,0,,3,
100654,"06.0000",5,0,0,65,53,0,0,,,0,0,,,0,0,65,53
100654,"06.0000",7,0,0,46,15,0,0,5,2,0,0,1,,0,0,52,17
100654,"07.0000",5,0,0,1,11,0,0,0,0,0,0,0,0,0,0,1,11
100654,"10.0000",5,0,0,8,10,0,0,0,0,0,0,0,0,0,0,8,10
100654,"11.0000",3,0,0,1,,0,0,0,0,0,0,0,0,0,,1,
100654,"11.0000",5,0,0,29,30,0,0,,,0,0,1,,0,0,30,30
100654,"11.0000",7,0,0,1,1,0,0,20,2,0,0,,,0,0,21,3
100654,"13.0000",5,0,0,7,39,0,0,0,0,0,0,,1,0,0,7,40
100654,"13.0000",7,0,0,4,28,0,0,0,0,0,0,24,49,0,0,28,77
100654,"14.0000",5,0,0,6,,0,0,7,,0,0,1,,0,,14,
100654,"15.0000",5,0,0,29,4,0,0,4,,0,0,2,1,0,0,35,5
100654,"15.0000",7,0,0,6,,0,0,8,,0,0,,,0,,14,
100654,"19.0000",5,0,0,,11,0,0,0,0,0,0,0,0,,0,,11
100654,"26.0000",5,0,0,3,6,0,0,0,0,0,0,0,0,0,0,3,6
100654,"26.0000",7,0,0,3,,0,0,0,0,0,0,0,0,0,,3,
100654,"27.0000",5,0,0,1,4,0,0,0,0,0,0,0,0,0,0,1,4
100654,"40.0000",5,0,0,3,3,0,0,1,,0,0,0,0,0,0,4,3
