unitid,"cipcode",awlevel,_type_,_freq_,crace15,crace16
100636,"06.0000",3,7,8,845,214
100636,"07.0000",3,7,2,448,192
100636,"08.0000",3,7,2,568,119
100636,"09.0000",3,7,2,231,49
100636,"10.0000",3,7,2,58,14
100636,"11.0000",3,7,1,74,20
100636,"13.0000",3,7,3,440,64
100636,"14.0000",3,7,6,777,65
100636,"15.0000",3,7,4,67,7
100636,"16.0000",3,7,1,157,38
100636,"17.0000",3,7,15,208,82
100636,"18.0000",3,7,3,190,100
100636,"19.0000",3,7,2,47,14
100636,"22.0000",3,7,1,21,21
100636,"30.0000",3,7,1,156,39
100636,"40.0000",3,7,1,97,8
100636,"43.0000",3,7,4,668,31
100636,"44.0000",3,7,2,55,20
100636,"46.0000",3,7,1,100,4
100636,"47.0000",3,7,7,1930,156
100636,"48.0000",3,7,2,77,7
100636,"49.0000",3,7,2,192,30
100636,"50.0000",3,7,1,8,1
100636,"99.0000",3,7,1,7414,1295
100654,"01.0000",3,7,1,1,0
100654,"01.0000",5,7,1,3,1
100654,"01.0000",7,7,1,17,0
100654,"02.0000",5,7,5,7,4
100654,"02.0000",7,7,3,12,1
100654,"04.0000",5,7,1,2,0
100654,"04.0000",7,7,1,8,0
100654,"06.0000",5,7,6,47,52
100654,"06.0000",7,7,3,56,17
100654,"07.0000",5,7,1,0,5
100654,"10.0000",5,7,1,11,17
100654,"11.0000",5,7,1,27,30
100654,"11.0000",7,7,1,20,5
100654,"13.0000",5,7,13,14,27
100654,"13.0000",7,7,15,27,77
100654,"13.0000",8,7,9,5,6
100654,"14.0000",5,7,1,11,0
100654,"15.0000",5,7,5,34,5
100654,"15.0000",7,7,1,14,2
100654,"19.0000",5,7,3,1,7
100654,"26.0000",5,7,2,5,2
100654,"26.0000",7,7,1,1,2
100654,"27.0000",5,7,1,1,2
100654,"40.0000",5,7,2,6,0
100654,"40.0000",7,7,1,1,0
100654,"40.0000",9,7,2,2,0
100654,"42.0000",7,7,3,3,11
100654,"44.0000",5,7,1,2,6
100654,"45.0000",5,7,2,11,2
100654,"45.0000",7,7,1,2,0
100654,"48.0000",5,7,1,2,0
100654,"99.0000",3,7,1,1,0
100654,"99.0000",5,7,1,184,160
100654,"99.0000",7,7,1,161,115
100654,"99.0000",8,7,1,5,6
100654,"99.0000",9,7,1,2,0
100663,"06.0000",5,7,5,138,108
100663,"06.0000",7,7,2,60,36
100663,"09.0000",5,7,1,27,36
100663,"11.0000",5,7,1,46,27
100663,"11.0000",7,7,1,14,3
100663,"11.0000",9,7,1,1,
100663,"13.0000",5,7,8,62,183
100663,"13.0000",7,7,11,42,247
100663,"13.0000",8,7,8,5,26
100663,"13.0000",9,7,1,4,2
100663,"14.0000",5,7,4,82,15
100663,"14.0000",7,7,5,17,3
100663,"14.0000",9,7,1,1,1
100663,"15.0000",2,7,1,16,
100663,"16.0000",5,7,2,1,3
100663,"17.0000",1,7,2,56,28
100663,"17.0000",2,7,11,48,121
100663,"17.0000",5,7,8,37,76
100663,"17.0000",7,7,2,8,22
100663,"18.0000",5,7,4,30,157
100663,"18.0000",7,7,11,86,110
100663,"18.0000",9,7,6,3,21
100663,"18.0401",10,7,1,40,15
100663,"18.1001",10,7,1,116,34
100663,"18.1201",10,7,1,23,10
100663,"19.0000",6,7,1,1,19
100663,"20.0000",2,7,1,,9
100663,"23.0000",5,7,1,6,24
100663,"23.0000",7,7,1,2,3
100663,"26.0000",5,7,1,22,17
100663,"26.0000",7,7,3,,11
100663,"26.0000",9,7,6,11,5
100663,"27.0000",5,7,1,8,5
100663,"27.0000",7,7,1,,1
100663,"30.0000",5,7,2,28,22
100663,"38.0000",5,7,1,7,1
100663,"40.0000",5,7,3,9,4
100663,"40.0000",7,7,2,4,1
100663,"40.0000",9,7,1,1,
100663,"42.0000",5,7,1,11,36
100663,"42.0000",7,7,1,3,1
100663,"42.0000",9,7,1,1,3
100663,"43.0000",5,7,1,38,21
100663,"43.0000",7,7,2,2,3
100663,"44.0000",5,7,1,4,22
100663,"44.0000",7,7,1,6,3
100663,"45.0000",5,7,6,39,26
