unitid,"cipcode",crace15,crace16,awlevel
100636,"06.0402",65,29,3
100636,"06.0403",52,0,3
100636,"06.0701",10,5,3
100636,"06.0702",12,2,3
100636,"06.0704",8,2,3
100636,"06.0705",9,2,3
100636,"06.1201",225,46,3
100636,"06.9999",464,128,3
100636,"07.0299",113,52,3
100636,"07.0401",335,140,3
100636,"08.1106",504,97,3
100636,"08.9999",64,22,3
100636,"09.0101",91,18,3
100636,"09.9999",140,31,3
100636,"10.0101",46,11,3
100636,"10.0103",12,3,3
100636,"11.0301",74,20,3
100636,"13.0101",39,19,3
100636,"13.1319",400,45,3
100636,"13.9999",1,0,3
100636,"14.0801",1,0,3
100636,"14.1001",639,53,3
100636,"14.1401",7,4,3
100636,"14.2301",12,1,3
100636,"14.2601",17,0,3
100636,"14.9999",101,7,3
100636,"15.0599",17,2,3
100636,"15.0609",1,0,3
100636,"15.0699",18,3,3
100636,"15.0701",31,2,3
100636,"16.9999",157,38,3
100636,"17.0101",29,19,3
100636,"17.0103",20,8,3
100636,"17.0201",8,2,3
100636,"17.0206",4,0,3
100636,"17.0208",5,0,3
100636,"17.0211",7,7,3
100636,"17.0308",1,1,3
100636,"17.0309",51,19,3
100636,"17.0406",1,0,3
100636,"17.0503",2,1,3
100636,"17.0507",12,11,3
100636,"17.0602",1,0,3
100636,"17.0705",5,1,3
100636,"17.0814",6,3,3
100636,"17.9999",56,10,3
100636,"18.0701",139,83,3
100636,"18.1025",21,9,3
100636,"18.9999",30,8,3
100636,"19.0501",30,8,3
100636,"19.0502",17,6,3
100636,"22.0103",21,21,3
100636,"30.9999",156,39,3
100636,"40.9999",97,8,3
100636,"43.0105",292,22,3
100636,"43.0109",186,1,3
100636,"43.0203",77,2,3
100636,"43.9999",113,6,3
100636,"44.0101",28,9,3
100636,"44.0799",27,11,3
100636,"46.9999",100,4,3
100636,"47.0103",4,1,3
100636,"47.0104",6,1,3
100636,"47.0199",107,7,3
100636,"47.0299",34,0,3
100636,"47.0401",382,39,3
100636,"47.0604",35,3,3
100636,"47.9999",1362,105,3
100636,"48.0201",2,0,3
100636,"48.0504",75,7,3
100636,"49.0101",49,10,3
100636,"49.0105",143,20,3
100636,"50.0901",8,1,3
100636,"99.0000",7414,1295,3
100654,"01.0102",1,0,3
100654,"01.0102",3,1,5
100654,"01.0102",17,0,7
100654,"02.0201",1,0,5
100654,"02.0201",2,0,7
100654,"02.0301",2,2,5
100654,"02.0301",5,0,7
100654,"02.0403",1,2,5
100654,"02.0499",1,0,5
100654,"02.0501",2,0,5
100654,"02.0501",5,1,7
100654,"04.0301",2,0,5
100654,"04.0301",8,0,7
100654,"06.0101",1,2,5
100654,"06.0201",12,13,5
100654,"06.0401",24,25,5
100654,"06.0401",51,14,7
100654,"06.0501",5,0,5
100654,"06.0501",5,2,7
100654,"06.1401",5,11,5
100654,"06.1401",0,1,7
100654,"06.9999",0,1,5
100654,"07.0401",0,5,5
100654,"10.0104",11,17,5
100654,"11.0101",20,5,7
