unitid,cipcode,awlevel,_type_,_freq_,crace15,crace16
1025,70000,3,7,1,0,5
1025,240000,3,7,1,4,11
1025,990000,3,7,1,4,16
1336,60000,1,7,1,29,0
1336,60000,5,7,1,10,6
1336,60000,7,7,2,61,16
1336,110000,5,7,1,23,3
1336,110000,7,7,1,22,4
1336,140000,5,7,2,29,4
1336,140000,7,7,3,15,0
1336,990000,1,7,1,29,0
1336,990000,5,7,1,62,13
1336,990000,7,7,1,98,20
1593,181401,5,7,1,1,0
1593,181401,10,7,1,19,11
1593,990000,5,7,1,1,0
1593,990000,10,7,1,19,11
1595,60000,5,7,1,14,27
1595,90000,5,7,1,0,1
1595,130000,5,7,8,8,81
1595,160000,5,7,1,0,1
1595,230000,5,7,1,1,1
1595,260000,5,7,1,0,2
1595,270000,5,7,1,1,2
1595,300000,5,7,1,5,13
1595,390000,5,7,1,0,1
1595,400000,5,7,1,0,2
1595,420000,5,7,1,1,4
1595,430000,5,7,1,7,1
1595,440000,5,7,1,1,7
1595,450000,5,7,1,1,1
1595,500000,5,7,1,0,1
1595,990000,5,7,1,39,145
1742,60000,3,7,1,2,4
1742,70000,2,7,2,0,4
1742,70000,3,7,3,0,9
1742,120000,2,7,1,1,1
1742,170000,2,7,1,0,8
1742,180000,3,7,1,2,46
1742,240000,3,7,1,8,1
1742,300000,3,7,1,36,42
1742,430000,3,7,1,5,0
1742,460000,3,7,1,10,0
1742,470000,3,7,2,11,2
1742,480000,3,7,2,16,2
1742,990000,2,7,1,1,13
1742,990000,3,7,1,90,106
1755,500000,5,7,1,2,3
1755,990000,5,7,1,2,3
1779,10000,3,7,3,28,1
1779,70000,3,7,3,2,17
1779,80000,2,7,1,1,0
1779,80000,3,7,1,5,5
1779,100000,2,7,1,2,0
1779,100000,3,7,2,11,2
1779,120000,2,7,1,0,2
1779,150000,3,7,2,50,8
1779,170000,2,7,1,0,1
1779,200000,3,7,1,0,14
1779,240000,3,7,1,3,11
1779,250000,3,7,1,1,0
1779,300000,3,7,1,32,25
1779,310000,3,7,1,1,2
1779,440000,3,7,1,0,3
1779,470000,2,7,1,1,0
1779,470000,3,7,1,10,0
1779,990000,2,7,1,4,3
1779,990000,3,7,1,143,88
1942,60000,5,7,2,2,5
1942,130000,5,7,1,6,9
1942,180000,3,7,1,2,12
1942,240000,3,7,1,2,2
1942,240000,5,7,1,1,0
1942,390000,3,7,1,0,4
1942,390000,5,7,2,1,3
1942,390601,5,7,1,5,0
1942,990000,3,7,1,4,18
1942,990000,5,7,1,15,17
2028,60000,5,7,2,0,11
2028,70000,3,7,2,0,3
2028,70000,5,7,1,0,1
2028,80000,5,7,1,0,12
2028,130000,3,7,1,0,1
2028,130000,5,7,5,0,7
2028,160000,5,7,1,0,1
2028,170000,5,7,2,0,3
2028,190000,3,7,1,0,2
2028,190000,5,7,1,0,1
2028,230000,5,7,1,0,4
2028,260000,5,7,1,0,2
2028,270000,5,7,1,0,2
2028,400000,5,7,1,0,3
2028,420000,5,7,1,0,5
2028,430000,5,7,1,1,1
2028,440000,5,7,1,0,3
2028,450000,5,7,1,0,3
2028,500000,5,7,2,1,2
2028,990000,3,7,1,0,6
2028,990000,5,7,1,2,61
2289,60000,5,7,1,5,3
2289,260000,5,7,1,1,1
2289,270000,5,7,1,0,2
2289,420000,5,7,1,4,4
2289,430000,5,7,1,3,0
2289,450000,5,7,1,1,1
2289,990000,3,7,1,3,12
2289,990000,5,7,1,14,11
2296,60000,2,7,1,0,2
2296,60000,3,7,3,17,27
2296,70000,1,7,4,1,19
2296,70000,2,7,4,0,20
2296,70000,3,7,8,28,127
2296,150000,3,7,2,40,3
2296,170000,1,7,1,0,12
2296,170000,2,7,1,0,8
2296,170000,3,7,1,0,12
2296,990000,1,7,1,1,31
2296,990000,2,7,1,0,30
2296,990000,3,7,1,85,169
2381,130000,3,7,1,0,13
2381,170000,2,7,1,11,14
2381,170000,3,7,5,4,80
