unitid,cipcode,awlevel,crace15,crace16
1595,60000,5,10,17
1595,90000,5,0,2
1595,110000,5,0,3
1595,130000,5,5,68
1595,230000,5,0,6
1595,260000,5,0,1
1595,270000,5,0,1
1595,380000,5,0,1
1595,400000,5,0,2
1595,420000,5,2,11
1595,430000,5,8,1
1595,440000,5,0,7
1595,450000,5,1,5
1595,500000,5,0,1
1595,990000,5,26,126
1755,500000,5,3,4
1755,500000,7,1,0
1755,990000,5,3,4
1755,990000,7,1,0
1942,60000,3,1,0
1942,60000,5,4,3
1942,70000,3,0,1
1942,130000,5,3,6
1942,180000,3,1,14
1942,240000,3,6,9
1942,390000,3,0,2
1942,390000,5,12,1
1942,390601,5,4,0
1942,500000,5,0,1
1942,990000,3,8,26
1942,990000,5,23,11
2296,60000,1,0,1
2296,60000,3,14,31
2296,70000,1,1,15
2296,70000,2,0,27
2296,70000,3,25,144
2296,150000,2,1,0
2296,150000,3,21,7
2296,170000,2,0,3
2296,170000,3,0,18
2296,990000,1,1,16
2296,990000,2,1,30
2296,990000,3,60,200
2381,130000,2,0,2
2381,170000,1,1,9
2381,170000,2,16,18
2381,170000,3,10,64
2381,180000,1,2,15
2381,180000,3,12,107
2381,990000,1,3,24
2381,990000,2,16,20
2381,990000,3,22,171
2510,70000,3,1,6
2510,240000,3,6,1
2510,390000,3,2,5
2510,390601,3,3,0
2510,990000,3,12,12
2610,70000,2,0,1
2610,110000,2,0,2
2610,130000,5,0,15
2610,170000,3,0,6
2610,180000,3,1,52
2610,180000,5,0,24
2610,260000,5,0,5
2610,420000,1,1,7
2610,420000,2,1,3
2610,420000,5,0,3
2610,990000,1,1,7
2610,990000,2,1,6
2610,990000,3,1,58
2610,990000,5,0,47
2662,60000,3,6,4
2662,60000,5,74,57
2662,130000,5,1,14
2662,150000,3,11,2
2662,160000,5,0,1
2662,170000,3,13,14
2662,180000,3,7,72
2662,220000,3,2,2
2662,240000,5,12,6
2662,260000,5,1,0
2662,270000,3,1,0
2662,270000,5,13,0
2662,300000,5,3,0
2662,420000,5,1,1
2662,430000,3,7,3
2662,430000,5,0,2
2662,450000,5,17,11
2662,480000,3,1,0
2662,490000,3,3,0
2662,490000,5,5,2
2662,500000,5,2,0
2662,990000,3,51,97
2662,990000,5,129,94
3462,10000,3,3,0
3462,60000,3,1,1
3462,70000,3,0,2
3462,130000,3,1,1
3462,140000,3,1,0
3462,170000,2,0,1
3462,170000,3,0,3
3462,240000,3,1,4
3462,470000,3,1,0
3462,990000,2,0,1
3462,990000,3,8,11
3913,500000,3,5,1
3913,500000,5,15,18
3913,500000,7,8,4
3913,990000,3,5,1
3913,990000,5,15,18
3913,990000,7,8,4
4007,10000,1,55,8
4007,10000,3,1,36
4007,20000,1,6,0
4007,20000,2,13,2
4007,40000,3,1,17
4007,60000,3,83,140
4007,70000,2,1,139
4007,70000,3,66,109
4007,80000,2,1,9
4007,80000,3,10,31
4007,100000,3,7,3
4007,120000,2,6,9
4007,130000,3,53,32
4007,150000,3,103,13
4007,170000,1,0,40
4007,170000,2,4,101
4007,170000,3,21,86
4007,180000,3,5,85
4007,190000,3,2,23
4007,200000,2,8,22
4007,200000,3,14,2
4007,240000,3,5,10
4007,430000,3,36,13
4007,440000,3,0,11
4007,470000,2,111,1
4007,480000,2,62,9
4007,480000,3,32,51
4007,990000,1,61,48
4007,990000,2,206,292
4007,990000,3,439,662
4673,40000,3,0,7
4673,60000,2,0,4
4673,60000,3,19,69
4673,70000,1,0,3
4673,70000,2,0,13
4673,70000,3,1,145
4673,80000,3,3,47
4673,110000,3,19,46
4673,140000,3,12,2
4673,150000,3,3,1
4673,170000,3,1,28
4673,500000,3,4,4
4673,990000,1,0,3
4673,990000,2,0,17
4673,990000,3,62,349
5000,10000,2,7,0
5000,10000,3,1,0
5000,60000,3,59,23
5000,70000,1,0,5
5000,70000,2,0,6
5000,70000,3,9,22
5000,80000,2,2,0
5000,80000,3,0,1
5000,110000,3,13,9
5000,150000,2,2,0
5000,150000,3,17,1
5000,170000,2,12,19
5000,170000,3,13,64
5000,200000,3,1,11
5000,240000,2,1,0
5000,240000,3,435,211
5000,310000,2,0,1
5000,310000,3,5,1
5000,430000,2,2,1
5000,430000,3,8,1
5000,470000,2,10,2
5000,470000,3,2,1
5000,480000,2,10,0
5000,990000,1,0,5
5000,990000,2,46,29
5000,990000,3,563,345
5523,70000,2,6,1
5523,70000,3,25,12
5523,150000,2,12,0
5523,150000,3,69,1
5523,170000,2,0,31
5523,170000,3,3,9
5523,470000,2,4,0
5523,470000,3,19,0
5523,480000,3,6,7
5523,990000,2,22,32
5523,990000,3,122,29
6741,130000,5,0,7
6741,390000,3,1,3
6741,390000,5,21,1
6741,990000,3,1,3
6741,990000,5,21,8
8192,470000,1,17,0
8192,470000,2,83,0
8192,470000,3,8,0
8192,990000,1,17,0
8192,990000,2,83,0
8192,990000,3,8,0
8915,390000,5,7,3
8915,390000,7,12,8
8915,390601,10,8,7
8915,990000,5,7,3
8915,990000,7,12,8
8915,990000,10,8,7
10668,390601,2,5,8
10668,390601,3,2,3
10668,390601,5,89,45
10668,390601,7,2,0
10668,390601,10,2,0
10668,990000,2,5,8
10668,990000,3,2,3
10668,990000,5,89,45
10668,990000,7,2,0
10668,990000,10,2,0
11600,60000,3,4,6
11600,70000,1,0,6
11600,70000,3,0,12
11600,80000,3,0,1
11600,110000,2,3,7
11600,170000,1,0,2
11600,170000,2,0,11
11600,990000,1,0,8
11600,990000,2,3,18
11600,990000,3,4,19
11996,70000,2,0,2
11996,70000,3,1,31
11996,990000,2,0,2
11996,990000,3,1,31
29026,10000,5,0,1
29026,40000,7,2,2
29026,60000,5,3,0
29026,60000,7,8,0
29026,90000,7,0,1
29026,110000,7,1,0
29026,130000,7,3,14
29026,170000,7,2,4
29026,220000,5,1,0
29026,300000,7,1,0
29026,380000,7,1,0
29026,420000,5,1,0
29026,420000,7,9,29
29026,430000,5,4,0
29026,430000,7,13,0
29026,450000,5,1,2
29026,450000,7,2,0
29026,500000,7,0,1
29026,990000,5,10,3
29026,990000,7,42,51
100636,60000,3,713,357
100636,70000,3,363,231
100636,80000,3,432,178
100636,90000,3,264,78
100636,100000,3,107,21
100636,110000,3,199,79
100636,130000,3,283,256
100636,140000,3,761,234
100636,150000,3,245,39
100636,160000,3,138,38
100636,170000,3,181,67
100636,180000,3,111,90
100636,190000,3,14,15
100636,220000,3,18,18
100636,300000,3,75,15
100636,400000,3,66,21
100636,430000,3,557,103
100636,440000,3,47,43
100636,460000,3,25,15
100636,470000,3,2087,349
100636,480000,3,73,10
100636,490000,3,186,39
100636,500000,3,4,1
100636,990000,3,6949,2297
100645,470000,1,64,2
100645,470000,2,102,2
100645,480000,2,12,1
100645,490000,3,12,0
100645,990000,1,64,2
100645,990000,2,114,3
100645,990000,3,12,0
100654,10000,5,7,0
100654,10000,7,10,0
100654,20000,5,15,3
100654,20000,7,12,1
100654,30000,5,1,0
100654,40000,5,7,0
100654,40000,7,9,2
100654,60000,5,110,64
100654,60000,7,55,14
100654,70000,5,2,5
100654,100000,5,11,15
100654,110000,5,31,33
100654,110000,7,20,4
100654,130000,5,10,30
100654,130000,7,22,47
100654,140000,5,10,2
100654,150000,5,34,8
100654,150000,7,13,1
100654,190000,5,1,8
100654,190000,7,1,1
100654,260000,5,9,8
100654,260000,7,0,1
100654,270000,5,3,4
100654,400000,5,4,1
100654,400000,7,3,1
100654,420000,5,1,6
100654,420000,7,4,6
100654,440000,5,2,5
100654,450000,5,13,7
100654,470000,5,2,2
100654,990000,5,273,201
100654,990000,7,149,78
100663,60000,5,149,118
100663,60000,7,45,23
100663,90000,5,24,32
100663,110000,5,50,37
100663,110000,7,7,1
100663,110000,9,1,0
100663,130000,5,29,140
100663,130000,7,34,239
100663,130000,9,1,0
100663,140000,5,99,24
100663,140000,7,8,3
100663,150000,2,15,1
100663,160000,5,1,3
100663,170000,1,76,25
100663,170000,2,72,140
100663,170000,5,27,73
100663,170000,7,21,49
100663,180000,5,33,210
100663,180000,7,85,132
100663,180000,9,1,11
100663,180401,7,2,1
100663,180401,10,40,10
100663,181001,10,110,45
100663,181201,10,28,14
100663,190000,2,1,16
100663,230000,5,7,21
100663,230000,7,1,7
100663,260000,5,15,19
100663,260000,7,4,2
100663,260000,9,11,3
100663,270000,5,9,4
100663,300000,5,27,15
100663,380000,5,1,0
100663,400000,5,7,3
100663,400000,7,5,4
100663,400000,9,1,0
100663,420000,5,16,14
100663,420000,7,3,2
100663,420000,9,2,1
100663,430000,5,30,20
100663,430000,7,3,2
100663,440000,5,3,20
100663,440000,7,3,6
100663,450000,5,41,28
100663,450000,7,9,3
100663,500000,5,7,23
100663,990000,1,76,25
100663,990000,2,88,157
100663,990000,5,575,804
100663,990000,7,230,474
100663,990000,9,17,15
100663,990000,10,178,69
100706,50000,5,0,1
100706,60000,5,85,97
100706,60000,7,25,16
100706,110000,5,18,21
100706,110000,7,12,7
100706,110000,9,1,0
100706,130000,5,0,18
100706,130000,7,0,6
100706,140000,5,168,43
100706,140000,7,24,2
100706,140000,9,2,0
100706,160000,5,2,4
100706,180000,5,9,72
100706,180000,7,0,15
100706,230000,5,5,10
100706,230000,7,1,3
100706,260000,5,11,9
100706,260000,7,3,1
100706,270000,5,11,2
100706,270000,7,5,0
100706,310000,5,1,0
100706,400000,5,5,4
100706,400000,7,6,1
100706,400000,9,1,0
100706,420000,5,3,5
100706,430000,5,1,7
100706,450000,5,8,14
100706,450000,7,1,3
100706,500000,5,2,5
100706,990000,5,329,312
100706,990000,7,77,54
100706,990000,9,4,0
100724,60000,3,1,0
100724,60000,5,22,33
100724,70000,3,0,1
100724,70000,5,7,53
100724,90000,5,8,15
100724,110000,5,21,30
100724,130000,3,0,4
100724,130000,5,1,9
100724,130000,7,11,44
100724,170000,5,1,6
100724,200000,3,0,2
100724,230000,5,1,2
100724,260000,5,4,8
100724,260000,7,3,1
100724,270000,5,1,2
100724,270000,7,1,0
100724,310000,5,4,2
100724,400000,5,4,0
100724,420000,5,3,8
100724,430000,5,19,28
100724,440000,5,9,20
100724,440000,7,8,10
100724,450000,3,1,0
100724,450000,5,10,3
100724,450000,7,1,0
100724,500000,5,6,1
100724,500000,7,1,0
100724,990000,3,2,7
100724,990000,5,121,220
100724,990000,7,25,55
100742,70000,2,0,12
100742,70000,3,0,10
100742,120000,2,2,22
100742,150000,2,17,2
100742,150000,3,30,0
100742,460000,2,20,2
100742,470000,2,26,0
100742,470000,3,6,0
100742,480000,2,20,2
100742,480000,3,5,0
100742,990000,2,85,40
100742,990000,3,41,10
100751,40000,5,0,25
100751,50000,5,7,1
100751,50000,7,2,3
100751,60000,5,318,240
100751,60000,7,68,27
100751,60000,9,7,3
100751,70000,5,0,7
100751,90000,5,158,189
100751,90000,7,1,3
100751,110000,5,27,22
100751,110000,7,5,1
100751,130000,5,28,141
100751,130000,7,21,99
100751,130000,9,29,37
100751,140000,5,261,48
100751,140000,7,36,6
100751,140000,9,5,1
100751,150000,5,19,1
100751,160000,5,1,5
100751,160000,7,1,1
100751,170000,5,1,3
100751,170000,7,1,4
100751,180000,5,22,126
100751,180000,7,1,4
100751,190000,5,0,81
100751,190000,7,0,8
100751,200000,5,0,3
100751,200000,7,0,1
100751,220000,5,7,0
100751,220000,7,20,2
100751,220101,7,1,1
100751,220101,10,88,64
100751,230000,5,13,25
100751,230000,7,9,16
100751,230000,9,0,4
100751,240000,5,0,2
100751,250000,7,6,32
100751,260000,5,27,24
100751,260000,7,3,0
100751,260000,9,1,1
100751,270000,5,11,20
100751,270000,7,1,3
100751,300000,5,55,38
100751,300000,7,1,3
100751,300000,9,2,0
100751,310000,5,4,14
100751,310000,7,3,3
100751,310000,9,3,1
100751,380000,5,2,2
100751,400000,5,38,12
100751,400000,7,10,3
100751,400000,9,4,1
100751,420000,5,22,19
100751,420000,7,6,3
100751,420000,9,5,5
100751,430000,5,16,10
100751,430000,7,5,2
100751,440000,5,4,10
100751,440000,7,17,55
100751,440000,9,7,2
100751,450000,5,89,35
100751,450000,7,22,9
100751,450000,9,2,0
100751,500000,5,15,15
100751,500000,7,8,9
100751,500000,9,1,0
100751,990000,5,1145,1118
100751,990000,7,248,298
100751,990000,9,66,55
100751,990000,10,88,64
100760,60000,3,3,9
100760,70000,2,0,1
100760,70000,3,0,2
100760,110000,3,2,1
100760,240000,3,54,50
100760,430000,3,3,0
