unitid,cipcode,awlevel,crace15,crace16
100654,10102,5,5,0
100654,10102,7,10,0
100654,10103,5,2,0
100654,20201,5,5,0
100654,20201,7,7,0
100654,20301,5,3,2
100654,20301,7,3,1
100654,20403,5,0,1
100654,20499,5,3,0
100654,29999,5,4,0
100654,29999,7,2,0
100654,30499,5,1,0
100654,40301,5,7,0
100654,40301,7,9,2
100654,60101,5,11,7
100654,60201,5,31,10
100654,60301,5,20,12
100654,60401,5,22,22
100654,60401,7,47,14
100654,60501,5,6,0
100654,60501,7,8,0
100654,61402,5,20,13
100654,70601,5,2,5
100654,100199,5,11,15
100654,110101,5,31,33
100654,110101,7,20,4
100654,130101,7,7,3
100654,130403,7,2,0
100654,130499,5,0,9
100654,130499,7,0,6
100654,131001,5,0,1
100654,131005,5,0,3
100654,131005,7,0,4
100654,131006,5,0,5
100654,131006,7,0,4
100654,131012,5,0,8
100654,131012,7,0,8
100654,131099,7,0,7
100654,131202,5,0,1
100654,131202,7,1,8
100654,131205,7,0,1
100654,131301,5,1,0
100654,131301,7,9,0
100654,131302,5,1,1
100654,131303,7,0,1
100654,131309,5,1,0
100654,131311,7,1,1
100654,131312,5,2,2
100654,131314,5,2,0
100654,131315,7,0,3
100654,131318,5,1,0
100654,131320,7,2,0
100654,139999,5,2,0
100654,139999,7,0,1
100654,140801,5,10,2
100654,150299,5,4,0
100654,150399,5,19,4
100654,150603,7,13,1
100654,150899,5,6,2
100654,159999,5,5,2
100654,190101,7,1,1
100654,190501,5,1,3
100654,190999,5,0,5
100654,260101,7,0,1
100654,260701,5,9,8
100654,270101,5,3,4
100654,400501,5,2,0
100654,400801,5,2,1
100654,400801,7,2,0
100654,400899,7,1,1
100654,420101,5,1,6
100654,420201,7,0,3
100654,420601,7,1,1
100654,429999,7,3,2
100654,440701,5,2,5
100654,451001,5,9,4
100654,451101,5,4,3
100654,479999,5,2,2
100654,990000,5,273,201
100654,990000,7,149,78
101189,60499,3,27,29
101189,60499,5,5,8
101189,70101,5,1,1
101189,70601,2,0,4
101189,70601,3,0,13
101189,70699,1,0,19
101189,70699,3,1,2
101189,110101,2,3,14
101189,110101,3,14,13
101189,131202,5,0,2
101189,131205,5,1,3
101189,131314,5,1,0
101189,170599,3,5,3
101189,240101,3,6,7
101189,240101,5,3,3
101189,260101,5,1,0
101189,270101,5,1,0
101189,390201,3,4,0
101189,390201,5,6,0
101189,420101,5,0,2
101189,480101,3,2,0
101189,990000,1,0,19
101189,990000,2,3,18
101189,990000,3,59,67
101189,990000,5,19,19
101709,40501,5,0,1
101709,60101,5,1,4
101709,60201,5,4,6
101709,60301,5,10,4
101709,60401,5,23,20
101709,60402,5,6,12
101709,80102,5,0,15
101709,80102,7,0,1
101709,99999,5,20,10
101709,99999,7,2,2
101709,130401,7,1,0
101709,131101,5,5,21
101709,131101,7,3,7
101709,131202,5,1,25
101709,131202,7,0,11
101709,131204,5,0,12
101709,131204,7,0,8
101709,131205,5,1,0
101709,131205,7,0,3
101709,131302,5,0,2
101709,131304,7,1,0
101709,131308,5,0,4
101709,131308,7,0,3
