unitid,"cipcode",awlevel,crace01,crace02,crace03,crace04,crace05,crace06,crace07,crace08,crace09,crace10,crace11,crace12,crace13,crace14,crace15,crace16,bal_m,bal_w
100751,"06.0000",8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
100751,"13.0000",8,0,0,0,0,0,0,0,0,0,0,3,8,0,0,3,8,0,0
100751,"25.0000",8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
100751,"99.0000",8,0,0,0,0,0,0,0,0,0,0,3,10,0,0,3,10,0,0
100751,"06.0000",9,11,0,0,0,0,0,0,0,0,0,7,3,1,0,19,3,0,0
100751,"13.0000",9,1,0,1,3,0,0,0,1,0,0,18,38,0,0,20,42,0,0
100751,"14.0000",9,6,0,0,1,0,0,0,0,0,0,3,2,0,0,9,3,0,0
100751,"23.0000",9,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0
100751,"26.0000",9,2,0,0,0,0,0,0,0,0,0,1,1,0,0,3,1,0,0
100751,"27.0000",9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
100751,"30.0000",9,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0
100751,"40.0000",9,5,1,0,0,0,0,0,0,0,0,5,0,0,0,10,1,0,0
100751,"42.0000",9,0,0,0,0,0,0,0,0,0,0,3,5,0,0,3,5,0,0
100751,"44.0000",9,0,0,0,0,0,0,0,0,0,0,5,5,0,0,5,5,0,0
100751,"45.0000",9,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0
100751,"50.0000",9,0,0,0,0,0,0,0,0,0,0,6,1,0,0,6,1,0,0
100751,"99.0000",9,28,1,1,4,0,0,,1,0,0,50,57,2,,81,63,0,0
100751,"22.0101",10,1,0,0,3,1,0,0,1,1,0,102,48,0,0,105,52,0,0
100751,"99.0000",10,1,,,3,1,,,1,1,,102,48,0,0,105,52,0,0
100760,"07.0000",2,0,0,0,6,0,0,0,0,0,0,0,5,0,0,0,11,0,0
100760,"11.0000",2,0,0,1,5,0,0,0,0,0,0,0,7,0,0,1,12,0,0
100760,"12.0000",2,0,0,1,6,0,0,0,0,0,0,0,12,0,0,1,18,0,0
100760,"17.0000",2,0,0,1,6,0,0,0,0,0,0,0,24,0,0,1,30,0,0
100760,"46.0000",2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
100760,"47.0000",2,0,0,1,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0
100760,"48.0000",2,0,0,5,1,0,0,0,0,0,0,2,0,0,0,7,1,0,0
100760,"99.0000",2,0,0,11,24,0,0,0,0,0,0,4,48,0,0,15,72,0,0
100760,"06.0000",3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0
100760,"07.0000",3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
100760,"11.0000",3,0,0,2,2,0,0,0,0,0,0,4,3,0,0,6,5,0,0
100760,"17.0000",3,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,2,0,0
100760,"24.0000",3,0,0,3,6,0,0,0,0,1,0,38,62,0,0,42,68,0,0
100760,"47.0000",3,0,0,0,0,0,0,0,0,0,0,6,0,0,0,6,0,0,0
100760,"48.0000",3,0,0,1,0,0,0,0,0,0,0,0,3,0,0,1,3,0,0
100760,"99.0000",3,0,0,7,9,0,0,0,0,1,,48,72,0,0,56,81,0,0
100779,"95.0000",9,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0
100779,"99.0000",9,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0
100812,"06.0000",5,0,0,5,20,1,1,0,0,1,0,153,167,0,1,160,189,0,0
100812,"11.0000",5,0,0,2,2,0,0,0,0,0,0,28,21,0,1,30,24,0,0
100812,"13.0000",5,0,0,5,5,0,1,0,3,0,0,65,213,0,0,70,222,0,0
100812,"18.0000",5,0,0,0,2,0,0,0,0,0,0,5,4,0,0,5,6,0,0
100812,"23.0000",5,0,0,0,0,0,0,0,0,0,0,4,4,0,0,4,4,0,0
100812,"24.0000",5,0,0,1,0,0,0,0,0,0,0,12,4,0,0,13,4,0,0
100812,"26.0000",5,0,0,0,0,0,0,0,0,0,0,4,2,0,0,4,2,0,0
100812,"27.0000",5,0,0,2,0,1,0,1,0,0,0,23,20,0,0,27,20,0,0
100812,"38.0000",5,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0
100812,"40.0000",5,0,0,0,0,0,0,0,0,0,0,8,3,0,0,8,3,0,0
100812,"41.0000",5,0,0,0,0,0,0,0,0,0,0,12,0,0,0,12,0,0,0
100812,"42.0000",5,0,0,1,3,0,0,0,0,0,1,13,34,0,0,14,38,0,0
100812,"43.0000",5,0,0,2,0,0,0,0,0,0,0,18,5,1,0,21,5,0,0
100812,"45.0000",5,0,0,0,0,0,0,0,0,0,0,8,8,0,0,8,8,0,0
100812,"50.0000",5,0,0,0,0,0,0,0,0,0,0,1,4,0,0,1,4,0,0
100812,"99.0000",5,0,0,18,32,2,2,1,3,1,1,356,489,1,2,379,529,0,0
100821,"07.0000",2,0,0,6,0,0,4,0,0,0,0,9,13,0,0,15,17,0,0
100821,"12.0000",2,0,0,6,0,0,0,0,0,0,0,4,0,0,0,10,0,0,0
100821,"20.0000",2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0
100821,"46.0000",2,0,0,18,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0
100821,"47.0000",2,0,0,14,0,4,0,0,0,0,0,20,0,0,0,38,0,0,0
100821,"48.0000",2,0,0,22,0,2,0,1,0,0,0,15,0,0,0,40,0,0,0
100821,"99.0000",2,0,0,67,0,6,4,1,0,0,0,49,13,0,0,123,17,0,0
100830,"06.0000",5,0,0,7,19,1,0,1,3,0,0,123,89,0,0,132,111,0,0
100830,"09.0000",5,0,0,1,6,0,0,0,0,0,0,11,20,0,0,12,26,0,0
100830,"11.0000",5,0,0,1,2,0,0,0,0,0,0,14,7,0,0,15,9,0,0
100830,"13.0000",5,0,0,0,5,0,1,0,0,0,0,16,118,0,0,16,124,0,0
100830,"17.0000",5,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,3,0,0
100830,"18.0000",5,0,0,0,8,0,0,0,0,0,0,6,28,0,0,6,36,0,0
100830,"23.0000",5,0,0,0,0,0,0,0,1,0,0,6,3,0,0,6,4,0,0
100830,"24.0000",5,0,0,0,1,0,0,1,0,0,0,20,21,0,0,21,22,0,0
100830,"26.0000",5,0,0,1,2,0,0,0,0,0,0,9,5,0,0,10,7,0,0
100830,"27.0000",5,0,0,0,2,0,0,1,0,0,0,3,3,0,0,4,5,0,0
100830,"40.0000",5,0,0,1,1,0,0,0,0,0,1,7,4,0,0,8,6,0,0
100830,"42.0000",5,0,0,2,2,0,0,0,0,0,0,7,19,0,0,9,21,0,0
100830,"43.0000",5,0,0,3,9,0,0,0,0,0,0,11,14,0,0,14,23,0,0
100830,"45.0000",5,0,0,0,4,0,0,0,1,0,0,11,15,0,0,11,20,0,0
100830,"50.0000",5,0,0,0,0,0,0,0,1,0,0,2,7,0,0,2,8,0,0
100830,"99.0000",5,0,0,16,62,1,1,3,6,,1,246,355,0,0,266,425,0,0
100830,"06.0000",7,0,0,0,4,0,0,1,1,0,0,33,23,0,0,34,28,0,0
100830,"13.0000",7,0,0,0,6,0,0,0,0,0,0,11,66,0,0,11,72,0,0
100830,"24.0000",7,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0
100830,"42.0000",7,0,0,0,2,0,0,0,0,0,0,2,6,0,0,2,8,0,0
100830,"43.0000",7,0,0,0,3,0,0,0,0,1,1,5,2,0,0,6,6,0,0
100663,"44.0000",5,0,2,0,9,0,0,0,0,0,0,3,22,0,0,3,33,0,0
100663,"45.0000",5,0,0,1,6,0,0,0,0,0,3,40,21,0,0,41,30,0,0
100663,"50.0000",5,0,0,0,0,0,0,0,0,0,0,4,9,0,0,4,9,0,0
100663,"99.0000",5,22,17,49,124,0,0,0,0,13,12,448,639,0,0,532,792,0,0
100663,"18.0000",6,0,0,0,1,0,0,0,0,0,0,4,11,0,0,4,12,0,0
100663,"19.0000",6,0,0,0,0,0,0,0,1,0,1,1,15,0,0,1,17,0,0
100663,"99.0000",6,0,0,,1,0,0,,1,,1,5,26,0,0,5,29,0,0
100663,"06.0000",7,7,3,0,3,0,0,0,0,0,1,80,43,0,0,87,50,0,0
100663,"11.0000",7,10,4,1,0,0,0,0,1,0,0,4,2,0,0,15,7,0,0
100663,"13.0000",7,0,2,0,10,0,0,1,0,0,0,51,314,0,0,52,326,0,0
100663,"14.0000",7,4,0,1,0,0,0,0,0,0,0,24,5,0,0,29,5,0,0
100663,"17.0000",7,0,0,0,1,0,0,0,1,0,0,9,34,0,0,9,36,0,0
100663,"18.0000",7,19,5,5,23,0,0,3,4,4,2,58,138,0,0,89,172,0,0
100663,"23.0000",7,0,0,0,0,0,0,0,0,0,0,2,6,0,0,2,6,0,0
100663,"26.0000",7,3,1,0,0,0,0,1,0,0,0,6,10,0,0,10,11,0,0
100663,"27.0000",7,2,1,0,0,0,0,0,0,0,0,3,4,0,0,5,5,0,0
100663,"40.0000",7,6,1,0,0,0,0,0,0,0,0,1,0,0,0,7,1,0,0
100663,"42.0000",7,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0
100663,"43.0000",7,1,0,1,0,0,0,0,0,0,0,4,7,0,0,6,7,0,0
100663,"44.0000",7,1,0,1,1,0,0,0,0,0,0,5,8,0,0,7,9,0,0
100663,"45.0000",7,1,0,0,0,0,0,0,0,0,0,7,5,0,0,8,5,0,0
100663,"50.0000",7,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0
100663,"99.0000",7,54,17,9,38,0,0,5,6,4,3,254,581,0,0,326,645,0,0
100663,"13.0000",8,0,1,2,2,0,0,0,0,0,0,5,10,0,0,7,13,0,0
100663,"99.0000",8,,1,2,2,0,0,0,0,0,0,5,10,0,0,7,13,0,0
100663,"11.0000",9,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
100663,"13.0000",9,0,0,0,0,0,0,0,0,0,0,2,9,0,0,2,9,0,0
100663,"14.0000",9,3,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0
100663,"18.0000",9,5,2,0,1,0,0,0,0,0,0,5,24,0,0,10,27,0,0
100663,"26.0000",9,3,5,0,0,0,0,0,0,0,0,14,5,0,0,17,10,0,0
100663,"40.0000",9,1,0,1,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0
100663,"42.0000",9,0,0,0,0,0,0,0,0,0,0,5,6,0,0,5,6,0,0
100663,"99.0000",9,12,8,1,1,0,0,0,0,0,0,29,44,0,0,42,53,0,0
100663,"18.0401",10,0,0,0,0,0,0,3,1,1,0,35,6,0,0,39,7,0,0
100663,"18.1001",10,2,0,3,1,2,0,2,2,2,0,100,40,0,0,111,43,0,0
100663,"18.1201",10,0,0,1,0,0,0,2,0,0,0,21,20,0,0,24,20,0,0
100663,"99.0000",10,2,,4,1,2,,7,3,3,,156,66,0,0,174,70,0,0
100672,"47.0000",1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0
100672,"99.0000",1,0,0,1,,0,0,0,0,0,0,2,,0,0,3,0,0,0
100672,"47.0000",2,2,0,15,1,3,0,1,0,1,0,173,12,0,0,195,13,0,0
100672,"99.0000",2,2,,15,1,3,,1,,1,,173,12,0,0,195,13,0,0
100672,"47.0000",3,0,0,2,0,0,0,0,0,0,0,3,0,0,0,5,0,0,0
100672,"49.0000",3,0,1,2,2,0,0,1,0,1,0,18,1,0,0,22,4,0,0
