unitid,"cipcode",awlevel,crace01,crace02,crace03,crace04,crace05,crace06,crace07,crace08,crace09,crace10,crace11,crace12,crace13,crace14,crace15,crace16,bal_m,bal_w
100636,"06.0000",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,287,117,287,117
100636,"07.0000",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,656,288,656,288
100636,"10.0000",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,517,128,517,128
100636,"11.0000",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,326,61,326,61
100636,"13.0000",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,456,93,456,93
100636,"14.0000",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2,14,2
100636,"15.0000",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2804,218,2804,218
100636,"17.0000",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,323,158,323,158
100636,"18.0000",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0
100636,"19.0000",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,4,12,4
100636,"20.0000",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,16,45,16
100636,"22.0000",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,27,10,27
100636,"29.0000",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0
100636,"31.0000",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,3,16,3
100636,"41.0000",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159,27,159,27
100636,"43.0000",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,754,34,754,34
100636,"44.0000",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,8,25,8
100636,"45.0000",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,11,19,11
100636,"47.0000",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149,37,149,37
100636,"48.0000",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,6,3
100636,"49.0000",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1051,190,1051,190
100636,"50.0000",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0
100636,"99.0000",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7643,1425,7643,1425
100654,"01.0000",5,0,0,5,,0,0,0,0,0,0,0,0,0,0,5,,0,0
100654,"02.0000",5,3,2,3,1,0,0,0,0,0,0,0,0,0,0,6,3,0,0
100654,"03.0000",5,0,0,1,,0,0,0,0,0,0,0,0,0,0,1,,0,0
100654,"04.0000",5,0,0,2,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0
100654,"06.0000",5,8,2,30,48,0,0,1,,1,,0,0,0,0,40,50,0,0
100654,"07.0000",5,0,0,,7,0,0,0,0,0,0,0,0,0,0,,7,0,0
100654,"10.0000",5,1,1,4,3,0,0,0,0,0,0,0,0,0,0,5,4,0,0
100654,"11.0000",5,1,1,15,22,0,0,0,0,0,0,1,,0,0,17,23,0,0
100654,"13.0000",5,,2,3,16,0,0,0,0,0,0,,1,0,0,3,19,0,0
100654,"14.0000",5,0,0,1,,0,0,0,0,0,0,0,0,0,0,1,,0,0
100654,"15.0000",5,7,,13,8,0,0,1,,0,0,2,,0,0,23,8,0,0
100654,"17.0000",5,0,0,,1,0,0,0,0,0,0,0,0,0,0,,1,0,0
100654,"19.0000",5,,3,,4,0,0,0,0,0,0,0,0,0,0,,7,0,0
100654,"23.0000",5,0,0,,1,0,0,0,0,0,0,0,0,0,0,,1,0,0
100654,"26.0000",5,,1,,4,0,0,0,0,0,0,1,,0,0,1,5,0,0
100654,"27.0000",5,0,0,2,2,0,0,0,0,0,0,1,1,0,0,3,3,0,0
100654,"40.0000",5,1,1,3,,0,0,0,0,0,0,0,0,0,0,4,1,0,0
100654,"44.0000",5,,1,,4,0,0,0,0,0,0,0,0,0,0,,5,0,0
100654,"45.0000",5,0,0,5,6,0,0,0,0,0,0,0,0,0,0,5,6,0,0
100654,"48.0000",5,0,0,1,,0,0,0,0,0,0,0,0,0,0,1,,0,0
100654,"50.0000",5,0,0,4,2,0,0,0,0,0,0,0,0,0,0,4,2,0,0
100654,"99.0000",5,21,14,92,130,0,0,2,,1,,5,2,0,0,121,146,0,0
100654,"01.0000",7,5,1,0,0,0,0,0,0,0,0,2,,0,0,7,1,0,0
100654,"02.0000",7,8,2,,1,0,0,,1,0,0,0,0,0,0,8,4,0,0
